T,strike,rf,dividend,v0,kappa,sigma,rho,theta,lambda_parameter,nuUp,nuDown,p,price,original_iv
191,42.026,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,57.7337,0.81768,
330,34.9885,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,64.1583,0.815438,
346,221.138,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,8.70995,0.811332,
333,34.2966,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,64.7311,0.816064,
351,159.717,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,15.2496,0.799655,
278,30.6882,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,67.8237,0.826167,
87,48.5475,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,51.2838,0.838556,
62,107.725,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,8.28174,0.698014,
149,49.5541,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,50.852,0.808849,
32,85.0179,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,16.9844,0.670382,
106,47.8503,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,52.0275,0.827455,
147,169.941,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,4.69342,0.793725,
142,40.5549,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,58.9176,0.835054,
23,105.055,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,3.84707,0.592681,
232,95.7502,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,25.2062,0.781573,
103,70.3048,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,32.7806,0.767548,
148,141.089,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,7.97543,0.772735,
269,84.4179,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,31.6712,0.787657,
32,71.2671,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,29.1265,0.763745,
273,60.5806,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,44.7997,0.795695,
152,68.0174,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,36.362,0.780082,
175,111.113,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,16.5454,0.770037,
105,56.7762,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,43.943,0.798363,
156,102.713,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,18.1679,0.764245,
11,81.3052,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,18.9012,0.736021,
197,185.132,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,5.73293,0.80219,
138,117.003,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,12.2941,0.759159,
353,190.822,0.0276807,0.0391633,0.361683,16.802,1.41281,-0.482245,0.667381,1.72439,0.261654,0.247025,0.401064,11.521,0.805217,
