T,strike,rf,dividend,v0,kappa,sigma,rho,theta,price,original_iv
22,111.808,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.980269,0.451824,
110,83.2486,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,22.4311,0.609497,
73,89.7458,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,16.1291,0.597301,
221,76.9781,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,30.5262,0.607857,
127,172.724,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.358903,0.472596,
332,89.2952,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,26.8581,0.591334,
33,72.4131,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,28.1312,0.705077,
170,149.477,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.87951,0.521968,
121,162.725,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.567946,0.479276,
64,51.1264,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,48.9622,0.757358,
80,140.241,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,0.737625,0.472343,
271,35.3851,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,64.3805,0.668036,
21,84.6781,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,16.4015,0.646444,
67,53.3188,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,46.8483,0.741339,
60,118.092,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,2.63712,0.503206,
135,38.4955,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,61.3533,0.722821,
153,101.085,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,14.4848,0.575532,
226,130.567,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,8.26165,0.552649,
80,66.2056,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,34.9644,0.672325,
342,22.1236,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,76.6455,0.682333,
105,71.023,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,31.4671,0.641921,
279,49.1332,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,52.3228,0.640408,
199,54.7818,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,46.7761,0.647386,
145,132.178,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.43499,0.531501,
293,223.846,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.15868,0.515013,
51,87.6341,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,16.1578,0.609074,
123,99.8978,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,13.4398,0.574748,
269,130.025,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,10.0717,0.558648,
82,48.301,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,51.7766,0.74106,
148,50.0492,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,50.4812,0.677558,
152,50.6467,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,49.9643,0.673927,
65,57.4832,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,42.8265,0.725183,
173,45.3864,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,54.9194,0.677877,
165,135.642,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,4.68115,0.534335,
276,23.7136,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,75.333,0.697136,
102,126.601,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,3.39582,0.519196,
273,201.681,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,1.65976,0.519307,
50,67.1115,0.0403937,0.0232577,0.48803,39.3617,3.70761,-0.873853,0.599777,33.5031,0.703229,
